text,pca1,pca2,pca3,pca4,pca5,pca6
84,-1.514664770397605,0.47805317526668284,0.3284220925879523,0.4443365547218974,0.029723151575736694,-0.36635008449792733
89,-1.1573358858161016,-0.5075755516495838,0.2816525721706465,0.6345152036519875,0.28028069497991215,-0.05799396521271034
83,-1.63388719439851,-0.30970708255901586,-0.09966054373248517,0.4588542929488884,0.09584976003838924,-0.25868741685734914
375,0.08002300562993808,-0.11040205911266249,0.1497887152062361,0.46205145697922034,0.05839203551432995,0.06769797346704264
151,-0.954410411308221,1.728034301477885,-0.21542933933031533,0.7303285476188304,0.3818468752613061,-0.15576917598923626
154,-1.1653496126040719,1.7511639601961508,-0.2548185092084707,0.6178998418998003,0.4528760469542214,-0.22905148834640862
318,0.0828104265946147,1.0271031330900307,0.19835202404634902,0.8102680845376703,-0.3725909942254876,0.5146398190288269
53,-0.5145790491349339,0.0509257831336884,-0.2464233958480958,0.3940383862632677,-0.2919898212305067,-0.36462304162468673
35,-0.36379796725081565,0.3969061827459879,-0.8469382734345472,0.2777008297005524,-1.0413680795865892,-0.48639206757568493
73,-1.6608431683790723,0.43541617344559747,-0.01285335311587105,0.5735350371942413,0.07002979396499073,0.20092299831223143
184,-0.4411988204988562,0.6474730605127114,0.6802037181258501,0.5795948355559599,-0.012438857522033706,0.03777108618855706
260,-0.21018038500857333,0.6586312905776172,0.7845042287943708,0.4759333578462031,0.13340555942117022,0.2664704769682644
112,-1.256007426291103,0.1900171985477978,0.4121455139919438,0.4127181129051463,0.24287933498439143,-0.06891485440811458
127,-0.6885212905910867,0.02722551789333135,0.3204150409286434,0.6261119234772706,-0.13949433966721864,-0.3541974586710667
280,-0.34955062467989556,1.1120166253881403,0.4327618996756831,0.466808619222908,-0.07645954315612824,-0.027600754070402425
192,-0.6560180884161813,0.3679037810065453,-0.49193998927341226,0.37933191989316817,0.2937352229987115,-0.07920773683656572
95,-1.2542178154774313,0.07881130717990646,-0.3179702562915689,0.3451972277180267,0.22929173461058408,-0.04055283311797821
220,-0.05469527847876507,0.4305665858590472,-0.25030000449419093,0.797991506217169,-0.538836535776592,-0.06720177415495628
321,0.30168906069764256,-0.05123430821943408,0.010295849816380117,0.27216623911235227,0.2076674277424757,-0.33662829422285007
99,-1.343925158056339,-0.5051809471836286,0.25185061547811016,0.08945429656546046,0.12480280992206945,-0.1400190601347766
8,-1.7149747775113644,0.11657395248607041,-0.434289718412777,0.20632567639827915,0.1375146673923237,-0.11512558607728855
204,0.0922236989968316,1.7058255023062638,0.7086394018108267,0.26033449758664867,-0.016797884846042874,0.05178214134800108
372,0.3224272083274854,1.0762186172497192,-0.03069234956280979,0.17965478757195316,0.26210281693693877,0.18202917982638284
282,0.06875945624356289,0.5041192925754384,0.8591817931811656,0.6450661870096339,-0.018238847807504843,0.26411179938526497
93,-1.1566080356347224,0.7973092365339305,0.48983098694634936,0.19354671925248282,0.09491922116749248,0.1867941270587993
87,-0.7847629147246558,-0.042846012529100495,-0.624095696400926,0.0804552050741548,-0.24250641851065274,-0.11168897320280502
61,-1.1237643977353806,0.2805027060932261,-0.7952661469383645,0.18869896121910132,-0.5102920685021171,-0.14719957002213574
117,-1.0479269085832639,0.1216360947517411,-0.06976456363693732,0.2322749781103299,0.16079777654934332,-0.2511484514563044
46,-1.6551932767097992,-0.1515375322662994,-0.12699104062180894,0.2253744494581414,-0.2418044452482388,-0.4302732298334502
205,-0.3830559108020817,0.6923037412624266,0.4126698874350031,0.20222757941886516,0.10101808956565318,-0.28406055969778893
255,-0.19544504961994272,0.7599440692387498,5.814055064564179e-5,0.407172066641437,0.5736025634141886,-0.010168024753673498
369,0.508695064743917,-0.9109982096864054,1.109793232873553,0.48935980101933185,0.3497648872236861,0.5512505525886501
129,-0.8570424607157789,-0.40147670216876963,0.1064040871416676,0.24681813741907993,0.6185403675453653,-0.6590884117027677
7,-1.4216006831622754,-0.011214622128864796,-0.403234423985737,0.45196776036811565,-0.27012889189444206,-0.42000971914921487
162,-0.8457852240387248,0.06147332566091703,-0.23542842764001515,0.3881014227725323,0.20819917009675964,-0.5130305329578857
251,0.06048771897952016,1.411763310492059,-0.0916480377497842,0.39392626597402,0.34975505118050176,-0.021331489339245925
447,0.3368571510282083,0.2003409993173446,0.2051739950158321,-0.0015057140035552392,0.04986690151319395,-0.6954177429292651
57,-1.2064095029469248,0.16727783745322083,-0.6120882690581274,0.03808243540557785,-0.16583987527680505,-0.3795631593026384
397,0.1541630760974364,-0.7671343376360806,-0.25341080540248695,0.3161339368548483,0.8001879569821075,-1.0485122310246948
75,-1.307422959120937,0.06269305144310834,-0.013523575697729329,0.22772044565838262,0.22956799659275678,-0.39120615070983955
77,-1.4621871287634292,0.3013575086992368,-0.07250330708661035,0.25897097104459305,0.19818584992201116,-0.26492449837353105
215,0.14881890202723277,0.5865668724233772,-0.3595131271446241,0.3500504112077662,-0.08407365088603125,-0.7896629377706758
13,-1.388790876545416,0.14179684816823881,0.08684804531510691,0.05597166925477686,0.13482884688855995,-0.3043151269860218
